low,mid,up
4090,4248,
4091,4249,
4093,4250,
4113,4254,
4114,4257,
4115,4258,
4118,4259,
4119,4260,
4124,4266,
4125,4267,
4126,4271,
4128,4274,
4129,4275,
4130,4276,
4139,4281,
4149,4282,
4154,4283,
4159,4286,
4166,4288,
4171,4289,
4172,4291,
4174,4292,
4175,4293,
4176,4294,
4178,4298,
4181,4299,
4183,4302,
4194,4306,
4201,4307,
4204,4308,
4205,4311,
4206,4312,
4208,4313,
4209,4314,
4211,4315,
4217,4324,
4218,4328,
4222,4329,
4226,4330,
4231,4331,
4232,4335,
4233,4338,
4234,4339,
4235,4342,
4237,4346,
4240,4351,
4241,4353,
4242,4354,
4247,4355,
4251,4357,
4252,4362,
4255,4364,
4256,4365,
4261,4370,
4262,4371,
4263,4372,
4264,4373,
4265,4374,
4272,4375,
4273,4383,
4277,4384,
4278,4386,
4279,4387,
4280,4396,
4284,4398,
4285,4399,
4287,4400,
4290,4401,
4295,4405,
4297,4408,
4301,4409,
4303,4410,
4304,4411,
4305,4418,
4309,4419,
4310,4423,
4320,4426,
4332,4428,
4333,4431,
4334,4432,
4348,4435,
4356,4439,
4359,4440,
4360,4441,
4361,4442,
4363,4443,
4366,4444,
4367,4449,
4380,4450,
4381,4451,
4382,4452,
4385,4453,
4390,4454,
4403,4457,
4404,4458,
4406,4469,
4407,4471,
4420,4472,
4421,4473,
4422,4477,
4424,4480,
4425,4481,
4427,4482,
4433,4483,
4434,4484,
4436,4489,
4437,4491,
4438,4493,
4445,4497,
4446,4501,
4447,4503,
4448,4505,
4455,4507,
4456,4512,
4461,4514,
4464,4515,
4465,4516,
4466,4517,
4467,4518,
4468,4519,
4470,4520,
4474,4523,
4475,4524,
4485,4525,
4486,4526,
4490,4527,
4492,4530,
4502,4532,
4504,4533,
4508,4535,
4509,4539,
4510,4541,
4511,4542,
4528,4546,
4529,4557,
4534,4558,
4536,4559,
4547,4560,
4551,4561,
4552,4562,
4554,4564,
4555,4570,
4563,4571,
4575,4573,
4582,4574,
4588,4576,
4591,4577,
4593,4578,
4594,4579,
4595,4585,
4600,4586,
4601,4587,
4603,4589,
4606,4590,
